post_id,username,caption,hashtags,mentions,likes,comment_count,clean_caption
3757158876308143282_2091666763,indiancricketteam,"𝐂.𝐇.𝐀.𝐌.𝐏.𝐈.𝐎.𝐍.𝐒 🏆

Congratulations to #TeamIndia on winning their maiden ICC Women's Cricket World Cup 🇮🇳 

Take. A. Bow 🙌

#WomenInBlue | #CWC25 | #Final | #INDvSA","#TeamIndia, #WomenInBlue, #CWC25, #Final, #INDvSA",,4736442,0,𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒 congratul teamindia win maiden icc women cricket world cup take bow womeninblu cwc final indvsa
3584595824401203523_2091666763,indiancricketteam,"𝗖. 𝗛. 𝗔. 𝗠. 𝗣. 𝗜. 𝗢. 𝗡. 𝗦! 🏆 🏆 🏆

The Rohit Sharma-led #TeamIndia are the ICC #ChampionsTrophy 2025 𝙒𝙄𝙉𝙉𝙀𝙍𝙎 👏 👏

Take A Bow! 🙌 🙌

#INDvNZ | #Final","#TeamIndia, #ChampionsTrophy, #INDvNZ, #Final",,6090099,0,𝗖 𝗛 𝗔 𝗠 𝗣 𝗜 𝗢 𝗡 𝗦 rohit sharmal teamindia icc championstrophi 𝙒𝙄𝙉𝙉𝙀𝙍𝙎 take bow indvnz final
3833711483344354403_2091666763,indiancricketteam,"Sixes, crucial catches, BIG IMPACT 😎

🎥 Presenting our 𝗜𝗺𝗽𝗮𝗰𝘁 𝗣𝗹𝗮𝘆𝗲𝗿 𝗼𝗳 𝘁𝗵𝗲 𝗠𝗮𝘁𝗰𝗵 in Colombo, ft. fun dressing room BTS 🏅😊

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,130993,0,six crucial catch big impact present 𝗜𝗺𝗽𝗮𝗰𝘁 𝗣𝗹𝗮𝘆𝗲𝗿 𝗼𝗳 𝘁𝗵𝗲 𝗠𝗮𝘁𝗰𝗵 colombo ft fun dress room bt teamindia tworldcup meninblu
3833606553107385019_2091666763,indiancricketteam,"A tale from one four-wicket haul to another ❤️

And a Successful Sydney outing 🏟️

Hear it from Arundhati Reddy 🙌

#TeamIndia | #AUSvIND","#TeamIndia, #AUSvIND",,77500,0,tale one fourwicket haul anoth success sydney outing hear arundhati reddi teamindia ausvind
3833545107770140826_2091666763,indiancricketteam,"The Unfolding

Raw. Real. Colombo.

#TeamIndia 🇮🇳 | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,233200,0,unfold raw real colombo teamindia tworldcup meninblu
3833215102363713600_2091666763,indiancricketteam,"A special knock to guide a big victory ✨

Ishan Kishan wins the Player of the Match award in Colombo 🫡

#TeamIndia | #T20WorldCup | #MenInBlue","#TeamIndia, #T20WorldCup, #MenInBlue",,354689,0,special knock guid big victori ishan kishan win player match award colombo teamindia tworldcup meninblu
3833213167137010882_2091666763,indiancricketteam,"3️⃣/3️⃣ for #TeamIndia 💙

The #MenInBlue win by 6️⃣1️⃣ runs to qualify for the Super 8 stage! 💪

#T20WorldCup","#TeamIndia, #MenInBlue, #T20WorldCup",,352881,0,teamindia meninblu win run qualifi super stage tworldcup
3833210835465041149_376525195,icc,"Super 8 qualification ✅ 

India get the job done against Pakistan to remain unbeaten at #T20WorldCup 2026 👏

Tournament broadcast details in our bio 📺",#T20WorldCup,,1318878,0,super qualif india get job done pakistan remain unbeaten tworldcup tournament broadcast detail bio
3833206345915568439_42437564971,jayshah220988,"Fantastic atmosphere in Colombo with ICC Men’s #T20WorldCup ambassador @rohitsharma45 in attendance, giving cricket fans a thrill as he promotes this great tournament globally on TV and social media.",#T20WorldCup,@rohitsharma45,1526163,0,fantast atmospher colombo icc men tworldcup ambassador attend give cricket fan thrill promot great tournament global tv social media
3833204216912074439_376525195,icc,"Two of a kind 🤩

@hanumankind and @ishankishan23 both set the stage alight in Colombo 🎇

#T20WorldCup",#T20WorldCup,"@hanumankind, @ishankishan23",2419302,0,two kind set stage alight colombo tworldcup
